Time,Frame,nose_dist,body_dist,freezing,darting,Left,Right
0.04,1,0.0,0.0,0,0,0.0,0.0
0.08,2,0.0,0.0,0,0,0.0,0.01
0.12,3,0.0,0.0,0,0,0.0,0.0
0.16,4,0.0,0.0,0,0,0.0,0.0
0.2,5,0.0,0.0,0,0,0.0,0.0
0.24,6,0.0,0.0,0,0,0.0,0.0
0.28,7,0.0,0.0,0,0,0.0,0.0
0.32,8,0.0,0.0,0,0,0.0,0.0
0.36,9,0.0,0.0,0,0,0.0,0.0
0.4,10,0.0,0.0,0,0,0.0,0.0
0.44,11,0.0,0.0,0,0,0.0,0.0
0.48,12,0.0,0.0,0,0,0.0,0.0
0.52,13,0.0,0.0,0,0,0.0,0.0
0.56,14,0.0,0.0,0,0,0.0,0.0
0.6,15,0.0,0.0,0,0,0.0,0.0
0.64,16,0.0,0.0,0,0,0.0,0.0
0.68,17,0.0,0.0,0,0,0.0,0.0
0.72,18,0.0,0.0,0,0,0.0,0.0
0.76,19,0.0,0.0,0,0,0.0,0.0
0.8,20,0.0,0.0,0,0,0.0,0.0
0.84,21,0.0,0.0,0,0,0.0,0.0
0.88,22,0.0,0.0,0,0,0.0,0.0
0.92,23,0.0,0.0,0,0,0.0,0.0
0.96,24,0.0,0.0,0,0,0.0,0.0
1.0,25,0.0,0.0,0,0,0.0,0.0
1.04,26,0.0,0.0,0,0,0.0,0.0
1.08,27,0.0,0.0,0,0,0.0,0.0
1.12,28,0.0,0.0,0,0,0.01,0.0
1.16,29,0.0,0.0,0,0,0.02,0.0
1.2,30,0.0,0.0,0,0,0.04,0.0
1.24,31,0.0,0.0,0,0,0.13,0.0
1.28,32,0.0,0.0,0,0,0.21,0.0
1.32,33,0.0,0.0,0,0,0.39,0.0
1.36,34,0.0,0.0,0,0,0.8,0.0
1.4,35,0.0,0.0,0,0,0.94,0.0
1.44,36,0.0,0.0,0,0,0.97,0.0
1.48,37,0.0,0.0,0,0,0.98,0.0
1.52,38,0.0,0.0,0,0,0.97,0.0
1.56,39,0.0,0.0,0,0,0.94,0.0
1.6,40,0.0,0.0,0,0,0.6,0.0
1.64,41,0.0,0.0,0,0,0.18,0.0
1.68,42,0.0,0.0,0,0,0.0,0.0
1.72,43,0.0,0.0,0,0,0.0,0.0
1.76,44,0.0,0.0,0,0,0.0,0.0
1.8,45,0.0,0.0,0,0,0.0,0.0
1.84,46,0.0,0.0,0,0,0.0,0.0
1.88,47,0.0,0.0,0,0,0.0,0.0
1.92,48,0.0,0.0,0,0,0.0,0.0
1.96,49,0.0,0.0,0,0,0.0,0.0
2.0,50,0.0,0.0,0,0,0.0,0.0
2.04,51,0.0,0.0,0,0,0.0,0.0
2.08,52,0.0035243584387353,0.0019513187531034,0,0,0.0,0.0
2.12,53,0.0077006244428621,0.004600624830622,0,0,0.0,0.0
2.16,54,0.0146942009664418,0.013914898580303,0,0,0.0,0.0
2.2,55,0.0108958333168725,0.011550177660081,0,0,0.0,0.0
2.24,56,0.0084939580651748,0.0090555779866637,0,0,0.0,0.0
2.28,57,0.008953699528035,0.0075217799549745,0,0,0.0,0.0
2.32,58,0.0077815269828116,0.0060982573582217,0,0,0.0,0.0
2.36,59,0.0099274254868201,0.0088608553422594,0,0,0.0,0.0
2.4,60,0.0161077663159233,0.0167664889650711,0,0,0.0,0.0
