Time,Frame,nose_dist,body_dist,freezing,body
0.04,1,0.0,0.0,0,other
0.08,2,0.0,0.0,0,other
0.12,3,0.0,0.0,0,other
0.16,4,0.0,0.0,0,other
0.2,5,0.0,0.0,0,other
0.24,6,0.0,0.0,0,other
0.28,7,0.0,0.0,0,other
0.32,8,0.0,0.0,0,other
0.36,9,0.0,0.0,0,other
0.4,10,0.0,0.0,0,other
0.44,11,0.0,0.0,0,other
0.48,12,0.0,0.0,0,other
0.52,13,0.0,0.0,0,other
0.56,14,0.0,0.0,0,other
0.6,15,0.0,0.0,0,other
0.64,16,0.0,0.0,0,other
0.68,17,0.0,0.0,0,other
0.72,18,0.0,0.0,0,other
0.76,19,0.0,0.0,0,centre
0.8,20,0.0,0.0,0,centre
0.84,21,0.0,0.0,0,centre
0.88,22,0.0,0.0,0,centre
0.92,23,0.0,0.0,0,centre
0.96,24,0.0,0.0,0,centre
1.0,25,0.0,0.0,0,centre
1.04,26,0.0,0.0,0,centre
1.08,27,0.0,0.0,0,centre
1.12,28,0.0,0.0,0,centre
1.16,29,0.0,0.0,0,centre
1.2,30,0.0,0.0,0,centre
1.24,31,0.0,0.0,0,centre
1.28,32,0.0,0.0,0,centre
1.32,33,0.0,0.0,0,centre
1.36,34,0.0,0.0,0,centre
1.4,35,0.0,0.0,0,centre
1.44,36,0.0,0.0,0,centre
1.48,37,0.0,0.0,0,centre
1.52,38,0.0,0.0,0,centre
1.56,39,0.0,0.0,0,centre
1.6,40,0.0,0.0,0,centre
1.64,41,0.0,0.0,0,centre
1.68,42,0.0,0.0,0,centre
1.72,43,0.0,0.0,0,centre
1.76,44,0.0,0.0,0,centre
1.8,45,0.0,0.0,0,centre
1.84,46,0.0,0.0,0,centre
1.88,47,0.0,0.0,0,centre
1.92,48,0.0,0.0,0,centre
1.96,49,0.0,0.0,0,centre
2.0,50,0.0,0.0,0,other
2.04,51,0.0,0.0,0,other
2.08,52,0.0,0.0,0,other
2.12,53,0.0,0.0,0,other
2.16,54,0.0,0.0,0,other
2.2,55,0.0,0.0,0,other
2.24,56,0.0,0.0,0,other
2.28,57,0.0,0.0,0,other
2.32,58,0.0,0.0,0,other
2.36,59,0.0,0.0,0,other
2.4,60,0.0,0.0,0,other
2.44,61,0.0,0.0,0,other
2.48,62,0.0058638913000626,0.0061098894912483,0,other
